Record_ID,Record_Type,Timestamp_Start,Latitude,Longitude,Severity,Resolution_Status,Resolution_Time_Minutes,Alert_Type,Incident_Type,Distance_km,Incident_Description,Traffic_Incident_Nearby,Node_ID/DevEUI,Feeder_ID,Network_Operator,Time_Zone,,,,,,,,
TRFC-1006,Traffic Incident,10/21/2025 14:02,39.289,-76.613,Medium,In Progress,0,,Road Work,0.1,Routine maintenance lane closure,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,
UTIL-1016,Utility Alert,10/20/2025 21:07,39.32,-76.62,Critical,Open,0,Power Loss,,,Major distribution feeder outage,FALSE,08b61f7fc9a02847,58.01.09,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1017,Utility Alert,10/21/2025 1:55,39.2904,-76.6122,High,Resolved,15,Sudden Tilt,,,Pole inspection required,FALSE,09744070A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1018,Utility Alert,10/21/2025 1:58,39.295,-76.68,Medium,Resolved,25,Sudden Tilt,,,Power cycling issue resolved,FALSE,09734143B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1007,Traffic Incident,10/21/2025 10:15,39.291,-76.615,Critical,Resolved,210,Accident,0.2,Collision involving hazardous material spill,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1019,Utility Alert,10/21/2025 2:04,39.32,-76.62,Medium,Resolved,11,Sudden Tilt,,,Minor device anomaly,FALSE,09734116A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1020,Utility Alert,10/21/2025 2:07,39.28,-76.545,High,Resolved,38,Sudden Tilt,,,Fault detection system OK,FALSE,13902003A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1008,Traffic Incident,10/21/2025 18:30,39.269,-76.649,Medium,Open,0,Congestion,0.1,Rush hour traffic build-up,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1021,Utility Alert,10/21/2025 2:09,39.27,-76.65,Medium,Resolved,15,Sudden Tilt,,,Device restart successful,FALSE,12941037A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1022,Utility Alert,10/21/2025 1:52,39.2904,-76.6122,High,Resolved,27,Sudden Tilt,,,Power spike normalized,FALSE,09734099A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1023,Utility Alert,10/21/2025 1:59,39.295,-76.68,Medium,Resolved,14,Sudden Tilt,,,Communications link tested,FALSE,09524245A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1009,Traffic Incident,10/21/2025 3:00,39.2906,-76.6105,Critical,Open,0,Road Work,0.3,Overnight asphalt patching; lanes closed,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1024,Utility Alert,10/20/2025 21:07,39.27,-76.65,Critical,Open,0,Power Loss,,,Power loss affecting commercial zone,FALSE,d48afcaeec102c4c,58.01.08,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1025,Utility Alert,10/21/2025 1:54,39.28,-76.545,Medium,Resolved,18,Sudden Tilt,,,Device status OK,FALSE,08715060A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1026,Utility Alert,10/21/2025 2:07,39.27,-76.65,High,Resolved,12,Sudden Tilt,,,Light functionality restored,FALSE,10756071A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1010,Traffic Incident,10/21/2025 9:40,39.2895,-76.612,Medium,Resolved,70,Disabled Vehicle,0.1,Commercial truck overheating,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1027,Utility Alert,10/21/2025 1:34,39.295,-76.68,High,Resolved,15,Sudden Tilt,,,High wind sensor calibration,FALSE,11754165A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1028,Utility Alert,10/21/2025 1:50,39.32,-76.62,High,Resolved,18,Sudden Tilt,,,Sensor check passed,FALSE,08755146A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1011,Traffic Incident,10/21/2025 16:55,39.2705,-76.652,Low,Resolved,35,Congestion,0.3,Afternoon commuter bottleneck,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1029,Utility Alert,10/21/2025 2:05,39.28,-76.545,High,Resolved,25,Sudden Tilt,,,Component status check,FALSE,12815029A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1030,Utility Alert,10/21/2025 1:55,39.27,-76.65,High,Resolved,17,Sudden Tilt,,,Device stability confirmed,FALSE,09744063A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1031,Utility Alert,10/20/2025 21:07,39.2904,-76.6122,Critical,Open,0,Power Loss,,,Feeder line power loss (substation 58.01.09),FALSE,b0b21ca3f2405e44,58.01.09,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1012,Traffic Incident,10/21/2025 7:10,39.2915,-76.6125,Medium,Resolved,45,Disabled Vehicle,0.2,Vehicle stalled in intersection,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1032,Utility Alert,10/21/2025 1:56,39.295,-76.68,High,Resolved,20,Sudden Tilt,,,Component status OK,FALSE,09724042B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1033,Utility Alert,10/21/2025 1:56,39.32,-76.62,High,Resolved,16,Sudden Tilt,,,Device re-engaged after fault,FALSE,09714029A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1013,Traffic Incident,10/21/2025 11:58,39.271,-76.65,Low,Resolved,12,Congestion,0.05,Temporary lane merge backup,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1034,Utility Alert,10/21/2025 1:57,39.28,-76.545,High,Resolved,11,Sudden Tilt,,,Sensor integrity confirmed,FALSE,09415051A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1035,Utility Alert,10/21/2025 2:00,39.27,-76.65,Medium,Resolved,21,Sudden Tilt,,,Low voltage threshold met,FALSE,10741008A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1014,Traffic Incident,10/21/2025 15:30,39.2905,-76.6124,Medium,Resolved,65,Disabled Vehicle,0.1,Sedan roadside assistance required,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1036,Utility Alert,10/21/2025 1:57,39.2904,-76.6122,High,Resolved,13,Sudden Tilt,,,Stabilization procedures complete,FALSE,08755173A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1037,Utility Alert,10/21/2025 1:56,39.295,-76.68,High,Resolved,18,Sudden Tilt,,,Device communications restored,FALSE,09714050A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1038,Utility Alert,10/21/2025 2:09,39.32,-76.62,Medium,Resolved,29,Sudden Tilt,,,Minor pole movement detected,FALSE,09535377A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1015,Traffic Incident,10/21/2025 9:00,39.2805,-76.545,Low,Resolved,20,Congestion,0.1,Traffic signal timing issue,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1039,Utility Alert,10/21/2025 2:07,39.28,-76.545,High,Resolved,15,Sudden Tilt,,,Light functionality restored,FALSE,09704014A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1040,Utility Alert,10/21/2025 1:45,39.27,-76.65,Medium,Resolved,25,Sudden Tilt,,,Component status OK,FALSE,11734179A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1016,Traffic Incident,10/21/2025 5:30,39.32,-76.6215,Critical,Resolved,250,Accident,1.3,Semi-truck rollover; highway closure,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1041,Utility Alert,10/21/2025 1:46,39.2904,-76.6122,High,Resolved,20,Sudden Tilt,,,Device stability check passed,FALSE,12951049A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1042,Utility Alert,10/21/2025 1:44,39.295,-76.68,High,Resolved,19,Sudden Tilt,,,Device status OK,FALSE,11754171A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1043,Utility Alert,10/21/2025 1:54,39.32,-76.62,High,Resolved,12,Sudden Tilt,,,High voltage transient detected,FALSE,08745095A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1017,Traffic Incident,10/21/2025 13:00,39.2904,-76.6152,Medium,Resolved,78,Road Work,0.2,Water main installation,TRUE,,,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,,
UTIL-1044,Utility Alert,10/21/2025 1:49,39.28,-76.545,High,Resolved,31,Sudden Tilt,,,Sensor reports excessive wind load,FALSE,08705116B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1045,Utility Alert,10/21/2025 1:51,39.27,-76.65,Medium,Resolved,20,Sudden Tilt,,,Minor fluctuation detected,FALSE,08715046A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1018,Traffic Incident,10/21/2025 19:15,39.301,-76.605,Low,Resolved,25,Congestion,1.1,Event-related traffic volume,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1046,Utility Alert,10/21/2025 1:46,39.2904,-76.6122,Medium,Resolved,18,Sudden Tilt,,,Device restart successful,FALSE,09744057B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1047,Utility Alert,10/21/2025 1:48,39.295,-76.68,High,Resolved,12,Sudden Tilt,,,Pole inspection required,FALSE,09724045A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1048,Utility Alert,10/21/2025 1:54,39.32,-76.62,High,Resolved,15,Sudden Tilt,,,Device stability confirmed,FALSE,07745053A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1019,Traffic Incident,10/22/2025 6:45,39.27,-76.65,High,Open,0,Accident,0.05,"Two-car minor impact, blocking one lane",TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1049,Utility Alert,10/21/2025 1:56,39.28,-76.545,High,Resolved,21,Sudden Tilt,,,Sensor status OK,FALSE,09744054B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1050,Utility Alert,10/21/2025 1:56,39.27,-76.65,Medium,Resolved,24,Sudden Tilt,,,Device re-engaged after fault,FALSE,06752128A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1020,Traffic Incident,10/22/2025 14:30,39.2955,-76.681,Medium,Resolved,120,Road Work,0.8,Planned daytime shoulder repair,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1051,Utility Alert,10/21/2025 1:57,39.2904,-76.6122,High,Resolved,19,Sudden Tilt,,,Power spike normalized,FALSE,10731189A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1052,Utility Alert,10/21/2025 1:54,39.295,-76.68,High,Resolved,27,Sudden Tilt,,,Stabilization procedures complete,FALSE,09734099B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1053,Utility Alert,10/21/2025 2:01,39.32,-76.62,High,Resolved,10,Sudden Tilt,,,Sensor integrity confirmed,FALSE,10752089A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1021,Traffic Incident,10/22/2025 17:00,39.28,-76.545,Low,Resolved,30,Congestion,0.01,Heavy evening commuter volume,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1054,Utility Alert,10/21/2025 1:58,39.28,-76.545,High,Resolved,13,Sudden Tilt,,,Pole inspection required,FALSE,08744099A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1055,Utility Alert,10/21/2025 1:55,39.27,-76.65,Medium,Resolved,16,Sudden Tilt,,,Minor fluctuation detected,FALSE,10733014A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1022,Traffic Incident,10/22/2025 9:30,39.318,-76.62,Medium,Resolved,45,Disabled Vehicle,1,Passenger vehicle mechanical failure,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1056,Utility Alert,10/21/2025 1:54,39.2904,-76.6122,High,Resolved,23,Sudden Tilt,,,Device communications restored,FALSE,09744076D,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1057,Utility Alert,10/21/2025 1:55,39.295,-76.68,High,Resolved,15,Sudden Tilt,,,Component status OK,FALSE,08755163A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1058,Utility Alert,10/21/2025 1:52,39.32,-76.62,Medium,Resolved,11,Sudden Tilt,,,Sensor check passed,FALSE,08724003B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1023,Traffic Incident,10/22/2025 13:45,39.2805,-76.546,Low,Resolved,10,Congestion,0.05,Roadway debris cleared,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1059,Utility Alert,10/21/2025 1:57,39.28,-76.545,Medium,Resolved,17,Sudden Tilt,,,Stabilization procedures complete,FALSE,08755144A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1060,Utility Alert,10/21/2025 2:08,39.27,-76.65,Medium,Resolved,31,Sudden Tilt,,,Device restart successful,FALSE,10723091A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1024,Traffic Incident,10/22/2025 18:45,39.271,-76.65,Critical,Open,0,Accident,0.01,Police activity closing all lanes,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1061,Utility Alert,10/21/2025 1:58,39.2904,-76.6122,High,Resolved,15,Sudden Tilt,,,Light functionality restored,FALSE,09724116A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1062,Utility Alert,10/21/2025 1:46,39.295,-76.68,Medium,Resolved,19,Sudden Tilt,,,Power spike normalized,FALSE,09744060A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1063,Utility Alert,10/21/2025 1:53,39.32,-76.62,High,Resolved,14,Sudden Tilt,,,Sensor integrity confirmed,FALSE,11744122A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1025,Traffic Incident,10/22/2025 11:30,39.2902,-76.6118,Medium,Resolved,120,Road Work,0.03,BGE scheduled maintenance,TRUE,,,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,,
UTIL-1064,Utility Alert,10/21/2025 1:54,39.28,-76.545,Medium,Resolved,18,Sudden Tilt,,,Device performance stable,FALSE,09705071B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1065,Utility Alert,10/21/2025 1:54,39.27,-76.65,High,Resolved,23,Sudden Tilt,,,High voltage transient detected,FALSE,07724196A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1026,Traffic Incident,10/22/2025 15:40,39.295,-76.68,Low,Resolved,15,Congestion,0.1,Signal optimization needed,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1066,Utility Alert,10/20/2025 21:07,39.295,-76.68,Critical,Open,0,Power Loss,,,Feeder line power loss (substation 58.02.30),FALSE,ec64c968e13ca679,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1067,Utility Alert,10/21/2025 1:56,39.2904,-76.6122,High,Resolved,18,Sudden Tilt,,,Stabilization procedures complete,FALSE,07734006B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1068,Utility Alert,10/21/2025 1:56,39.295,-76.68,High,Resolved,19,Sudden Tilt,,,Device status OK,FALSE,09724055A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1027,Traffic Incident,10/23/2025 7:00,39.321,-76.622,Medium,In Progress,0,Road Work,1.4,Median barrier installation,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1069,Utility Alert,10/21/2025 1:57,39.32,-76.62,Medium,Resolved,24,Sudden Tilt,,,Device re-engaged after fault,FALSE,11702048A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1070,Utility Alert,10/21/2025 1:58,39.28,-76.545,Medium,Resolved,12,Sudden Tilt,,,Sensor integrity confirmed,FALSE,07755070A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1028,Traffic Incident,10/23/2025 11:40,39.2903,-76.612,Critical,Resolved,180,Accident,0.05,Serious pedestrian strike; full investigation,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1071,Utility Alert,10/21/2025 1:58,39.27,-76.65,High,Resolved,20,Sudden Tilt,,,Power spike normalized,FALSE,09744030A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1072,Utility Alert,10/21/2025 1:57,39.2904,-76.6122,High,Resolved,10,Sudden Tilt,,,Device stability confirmed,FALSE,08715047A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1073,Utility Alert,10/21/2025 1:57,39.295,-76.68,High,Resolved,12,Sudden Tilt,,,Component status check,FALSE,11734166A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1029,Traffic Incident,10/23/2025 15:35,39.279,-76.544,Low,Resolved,25,Congestion,0.2,School dismissal volume,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1074,Utility Alert,10/21/2025 1:57,39.32,-76.62,High,Resolved,14,Sudden Tilt,,,Sensor integrity confirmed,FALSE,11734165A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1075,Utility Alert,10/21/2025 1:58,39.28,-76.545,Medium,Resolved,22,Sudden Tilt,,,Stabilization procedures complete,FALSE,08744099B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1076,Utility Alert,10/21/2025 2:08,39.27,-76.65,Medium,Resolved,16,Sudden Tilt,,,Device restart successful,FALSE,09744077A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1030,Traffic Incident,10/23/2025 10:15,39.296,-76.681,Medium,Resolved,90,Disabled Vehicle,0.9,Bus broke down in travel lane,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1077,Utility Alert,10/21/2025 1:57,39.2904,-76.6122,Medium,Resolved,17,Sudden Tilt,,,Minor pole movement detected,FALSE,09705092A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1078,Utility Alert,10/21/2025 1:54,39.295,-76.68,High,Resolved,25,Sudden Tilt,,,Minor device anomaly,FALSE,09724052A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1079,Utility Alert,10/21/2025 1:58,39.32,-76.62,Medium,Resolved,34,Sudden Tilt,,,Device stability confirmed,FALSE,EH008ISLA,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1031,Traffic Incident,10/24/2025 9:30,39.29,-76.6125,Low,Resolved,15,Congestion,0.1,Routine morning traffic slowdown,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1080,Utility Alert,10/21/2025 1:58,39.28,-76.545,High,Resolved,30,Sudden Tilt,,,Fault detection system OK,FALSE,07755039A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1081,Utility Alert,10/21/2025 1:58,39.27,-76.65,Medium,Resolved,20,Sudden Tilt,,,Sensor status OK,FALSE,09744030A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1032,Traffic Incident,10/24/2025 16:20,39.288,-76.5455,Medium,Resolved,40,Disabled Vehicle,0.4,Vehicle out of gas,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1082,Utility Alert,10/20/2025 21:07,39.32,-76.62,Critical,Open,0,Power Loss,,,Major distribution feeder outage,FALSE,ec64c9690b5c8c5e,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1083,Utility Alert,10/21/2025 2:03,39.2904,-76.6122,High,Resolved,12,Sudden Tilt,,,Device stability confirmed,FALSE,12841061A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1084,Utility Alert,10/21/2025 2:04,39.295,-76.68,Medium,Resolved,17,Sudden Tilt,,,Component status check,FALSE,12833053A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1033,Traffic Incident,10/24/2025 11:05,39.27,-76.6505,High,Resolved,150,Accident,0.1,"Minor injury collision, tow required",TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1085,Utility Alert,10/21/2025 2:04,39.32,-76.62,High,Resolved,19,Sudden Tilt,,,High voltage transient detected,FALSE,12804027A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1086,Utility Alert,10/21/2025 2:07,39.28,-76.545,Medium,Resolved,23,Sudden Tilt,,,Pole inspection required,FALSE,12825027A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1087,Utility Alert,10/21/2025 2:09,39.27,-76.65,Medium,Resolved,29,Sudden Tilt,,,Minor fluctuation detected,FALSE,10721146A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1034,Traffic Incident,10/24/2025 7:45,39.29,-76.612,Medium,In Progress,0,Congestion,0.08,Morning rush hour peak,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1088,Utility Alert,10/21/2025 1:54,39.2904,-76.6122,High,Resolved,15,Sudden Tilt,,,Device performance stable,FALSE,09734077B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1089,Utility Alert,10/21/2025 1:56,39.295,-76.68,High,Resolved,12,Sudden Tilt,,,Device restart successful,FALSE,06752149B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1090,Utility Alert,10/21/2025 2:05,39.32,-76.62,Medium,Resolved,25,Sudden Tilt,,,Communications link tested,FALSE,12921005A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1035,Traffic Incident,10/24/2025 14:00,39.28,-76.544,Low,Resolved,10,Road Work,0.02,"Pothole repair, minimal impact",TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
